text,branch,semester,subject,subject_code,month,year,html_url,pdf_url
BTECH-CIVIL-6-SEM-IRRIGATION-ENGINEERING-1-24379-MAY-2019,CIVIL,6,IRRIGATION ENGINEERING 1,24379,MAY,2019,https://www.mdustudy.com/papers/btech-civil-6-sem-irrigation-engineering-1-24379-may-2019.html,https://www.mdustudy.com/papers/btech-civil-6-sem-irrigation-engineering-1-24379-may-2019.pdf
BTECH-CIVIL-7-SEM-IRRIGATION-ENGINEERING-2-24514-MAY-2019,CIVIL,7,IRRIGATION ENGINEERING 2,24514,MAY,2019,https://www.mdustudy.com/papers/btech-civil-7-sem-irrigation-engineering-2-24514-may-2019.html,https://www.mdustudy.com/papers/btech-civil-7-sem-irrigation-engineering-2-24514-may-2019.pdf
BTECH-CSE-IT-5-SEM-MICROPROCESSING-AND-INTERFACING-24230-DEC-2019,CSE,5,IT MICROPROCESSING AND INTERFACING,24230,DEC,2019,https://www.mdustudy.com/papers/btech-cse-it-5-sem-microprocessing-and-interfacing-24230-dec-2019.html,https://www.mdustudy.com/papers/btech-cse-it-5-sem-microprocessing-and-interfacing-24230-dec-2019.pdf
BTECH-CSE-IT-6-SEM-SYSTEM-PROGRAMMING-AND-SYSTEM-ADMINISTRATION-24361-MAY-2019,CSE,6,IT SYSTEM PROGRAMMING AND SYSTEM ADMINISTRATION,24361,MAY,2019,https://www.mdustudy.com/papers/btech-cse-it-6-sem-system-programming-and-system-administration-24361-may-2019.html,https://www.mdustudy.com/papers/btech-cse-it-6-sem-system-programming-and-system-administration-24361-may-2019.pdf
BTECH-ME-4-SEM-KINEMATICS-OF-MACHINE-24170-MAY-2019,ME,4,KINEMATICS OF MACHINE,24170,MAY,2019,https://www.mdustudy.com/papers/btech-me-4-sem-kinematics-of-machine-24170-may-2019.html,https://www.mdustudy.com/papers/btech-me-4-sem-kinematics-of-machine-24170-may-2019.pdf
BTECH-ME-4-SEM-MANUFACTURING-TECHNOLOGY-1-24169-MAY-2019,ME,4,MANUFACTURING TECHNOLOGY 1,24169,MAY,2019,https://www.mdustudy.com/papers/btech-me-4-sem-manufacturing-technology-1-24169-may-2019.html,https://www.mdustudy.com/papers/btech-me-4-sem-manufacturing-technology-1-24169-may-2019.pdf
BTECH-ME-2-SEM-MATH-2-MULTIVARIABLES-CALCULUS-DIFFERENTIAL-EQUATIONS-AND-COMPLEX-ANALYSIS-3015-MAY-2019,ME,2,MATH 2 MULTIVARIABLES CALCULUS DIFFERENTIAL EQUATIONS AND COMPLEX ANALYSIS,3015,MAY,2019,https://www.mdustudy.com/papers/btech-me-2-sem-math-2-multivariables-calculus-differential-equations-and-complex-analysis-3015-may-2019.html,https://www.mdustudy.com/papers/btech-me-2-sem-math-2-multivariables-calculus-differential-equations-and-complex-analysis-3015-may-2019.pdf
BTECH-CSE-2-SEM-MATH-2-PROBABILITY-AND-STATISTICS-3016-MAY-2019,CSE,2,MATH 2 PROBABILITY AND STATISTICS,3016,MAY,2019,https://www.mdustudy.com/papers/btech-cse-2-sem-math-2-probability-and-statistics-3016-may-2019.html,https://www.mdustudy.com/papers/btech-cse-2-sem-math-2-probability-and-statistics-3016-may-2019.pdf
BTECH-2-SEM-MATHEMATICS-2-24018-MAY-2019,COMMON/N/A,2,MATHEMATICS 2,24018,MAY,2019,https://www.mdustudy.com/papers/btech-2-sem-mathematics-2-24018-may-2019.html,https://www.mdustudy.com/papers/btech-2-sem-mathematics-2-24018-may-2019.pdf
BTECH-4-SEM-MATHEMATICS-3-24022-MAY-2019,COMMON/N/A,4,MATHEMATICS 3,24022,MAY,2019,https://www.mdustudy.com/papers/btech-4-sem-mathematics-3-24022-may-2019.html,https://www.mdustudy.com/papers/btech-4-sem-mathematics-3-24022-may-2019.pdf
BTECH-ME-6-SEM-MEASUREMENT-AND-INSTRUMENTATION-24358-MAY-2019,ME,6,MEASUREMENT AND INSTRUMENTATION,24358,MAY,2019,https://www.mdustudy.com/papers/btech-me-6-sem-measurement-and-instrumentation-24358-may-2019.html,https://www.mdustudy.com/papers/btech-me-6-sem-measurement-and-instrumentation-24358-may-2019.pdf
BTECH-ME-6-SEM-MECHANICAL-MACHINE-DESIGN-2-24355-MAY-2019,ME,6,MECHANICAL MACHINE DESIGN 2,24355,MAY,2019,https://www.mdustudy.com/papers/btech-me-6-sem-mechanical-machine-design-2-24355-may-2019.html,https://www.mdustudy.com/papers/btech-me-6-sem-mechanical-machine-design-2-24355-may-2019.pdf
