Player Name,Player Profile URL,Rank,Team,Wickets,Matches,Innings,Overs,Runs Conceded,Best Bowling,Average,Economy,Strike Rate,4 Wicket Hauls,5 Wicket Hauls
Varun Aaron,https://www.iplt20.com/players/varun-aaron/61,88,GT,2,2,2,5.0,52,45/2,26.00,10.40,15.00,0,0
Chris Jordan,https://www.iplt20.com/players/chris-jordan/1299,89,CSK,2,4,4,12.5,135,23/2,67.50,10.51,38.50,0,0
Darshan Nalkande,https://www.iplt20.com/players/darshan-nalkande/4447,90,GT,2,2,2,5.1,59,37/2,29.50,11.41,15.50,0,0
David Willey,https://www.iplt20.com/players/david-willey/2758,91,RCB,1,4,4,11.0,72,29/1,72.00,6.54,66.00,0,0
Anukul Roy,https://www.iplt20.com/players/anukul-roy/3774,92,KKR,1,2,2,7.0,55,28/1,55.00,7.85,42.00,0,0
Mayank Markande,https://www.iplt20.com/players/mayank-markande/4951,93,MI,1,2,2,7.0,57,26/1,57.00,8.14,42.00,0,0
Tushar Deshpande,https://www.iplt20.com/players/tushar-deshpande/3257,94,CSK,1,2,2,7.0,63,40/1,63.00,9.00,42.00,0,0
Kartik Tyagi,https://www.iplt20.com/players/kartik-tyagi/10059,95,SRH,1,2,2,8.0,79,42/1,79.00,9.87,48.00,0,0
Harshit Rana,https://www.iplt20.com/players/harshit-rana/20626,96,KKR,1,2,2,5.0,51,24/1,51.00,10.20,30.00,0,0
Aiden Markram,https://www.iplt20.com/players/aiden-markram/1667,97,SRH,1,14,4,6.0,64,8/1,64.00,10.66,36.00,0,0
Deepak Hooda,https://www.iplt20.com/players/deepak-hooda/1556,98,LSG,1,15,2,4.0,43,31/1,43.00,10.75,24.00,0,0
Shreyas Gopal,https://www.iplt20.com/players/shreyas-gopal/1748,99,SRH,1,1,1,3.0,34,34/1,34.00,11.33,18.00,0,0
Fabian Allen,https://www.iplt20.com/players/fabian-allen/1707,100,MI,1,1,1,4.0,46,46/1,46.00,11.50,24.00,0,0
